   155/299     9.97G   0.02397  0.006305         0   0.03027        30       320    0.8664    0.6756    0.7973    0.4937   0.04149   0.01045         0
   156/299     9.97G   0.02431  0.006164         0   0.03047        20       320     0.766    0.5151    0.6054     0.348   0.05727   0.01284         0
   157/299     9.97G   0.02385  0.006054         0   0.02991        15       320    0.6862    0.5484    0.5975    0.3328   0.05356   0.01265         0
   158/299     9.97G   0.02393  0.005902         0   0.02983        19       320    0.6916    0.6756    0.7105    0.4287     0.045   0.01182         0
   159/299     9.97G   0.02355  0.006101         0   0.02965        38       320    0.8233    0.6087    0.7186    0.4209   0.04618   0.01212         0
   160/299     9.97G   0.02331  0.005758         0   0.02907         6       320    0.7932    0.7056    0.7832    0.4884   0.04107   0.01079         0
   161/299     9.97G   0.02401  0.006362         0   0.03037        20       320    0.8595    0.6954    0.8037    0.5024   0.03997   0.01025         0
   162/299     9.97G   0.02344  0.006036         0   0.02947        11       320    0.8542    0.7055    0.8004    0.4869   0.04135   0.01033         0
   163/299     9.97G   0.02343  0.006372         0   0.02981        28       320    0.7295    0.7057    0.7413    0.4356   0.04453    0.0108         0
   164/299     9.97G   0.02298  0.005829         0   0.02881        26       320    0.8267    0.7023    0.8097    0.5023   0.03963   0.01027         0
   165/299     9.97G   0.02411  0.005701         0   0.02981        15       320    0.8165    0.7291    0.8072    0.5054   0.03993   0.01044         0
   166/299     9.97G    0.0223  0.005699         0     0.028         8       320    0.8095    0.7324     0.809    0.5009   0.04036   0.01059         0
   167/299     9.97G   0.02219  0.005525         0   0.02772        25       320    0.7861    0.7759    0.8174    0.5121   0.03922   0.01058         0
   168/299     9.97G   0.02361  0.006149         0   0.02976        21       320    0.7939    0.7859      0.82    0.5298   0.03904   0.01039         0
   169/299     9.97G   0.02344  0.006082         0   0.02952        20       320    0.7846    0.7191    0.7874    0.5049   0.04083   0.01089         0
   170/299     9.97G   0.02416  0.005188         0   0.02935         8       320    0.7659    0.7552    0.7982    0.5076   0.04007   0.01032         0
   171/299     9.97G   0.02279  0.005459         0   0.02825        16       320    0.8054    0.7224    0.7899    0.4986   0.04021   0.01038         0
   172/299     9.97G   0.02205  0.005376         0   0.02742        14       320    0.7781    0.7759    0.8117    0.5032   0.04074   0.01073         0
   173/299     9.97G   0.02162   0.00562         0   0.02724         8       320    0.8051    0.7324    0.8084    0.5077   0.04063   0.01098         0
   174/299     9.97G   0.02255  0.005959         0   0.02851        30       320    0.7749    0.7726    0.8124    0.5089   0.03958   0.01078         0
   175/299     9.97G   0.02407  0.005861         0   0.02993        31       320    0.7999    0.7358    0.7964    0.4896   0.04009   0.01078         0
   176/299     9.97G   0.02267  0.005753         0   0.02842         9       320    0.8391    0.7157    0.8206    0.5074   0.03938   0.01061         0
   177/299     9.97G   0.02246  0.006105         0   0.02856        26       320    0.8395    0.7522    0.8263    0.5174   0.03859   0.01052         0
   178/299     9.97G   0.02176  0.005979         0   0.02774        46       320    0.7949    0.7389    0.8023     0.512   0.03861    0.0107         0
   179/299     9.97G   0.02183  0.005959         0   0.02779        16       320    0.8089    0.7219    0.8061    0.5003   0.03962   0.01062         0
   180/299     9.97G   0.02246   0.00581         0   0.02827        25       320    0.7991    0.7458     0.801    0.4792   0.04166   0.01051         0
   181/299     9.97G   0.02108  0.005348         0   0.02642        23       320    0.8287    0.7282    0.8244    0.5052   0.03832   0.01059         0
   182/299     9.97G   0.02141  0.005548         0   0.02695        15       320    0.8071    0.7558    0.8272    0.5163   0.03842   0.01065         0
   183/299     9.97G   0.02237  0.005703         0   0.02808        29       320    0.8218    0.7557      0.83    0.5181   0.03875   0.01071         0
   184/299     9.97G   0.02298  0.006366         0   0.02935        42       320    0.8482    0.6923    0.8089    0.5216   0.03924   0.01109         0
